"staging_key","name","poi_category","include_v1","coordinate_valid","feature_type","feature_type_code","latitude","longitude","datum","mapsheet","source"
"gazetteer:8e3be7f68835918e1de19ea5","Craigflower Creek","freshwater","True","True","Creek (1)","602","48.4561111066514","-123.432777777778","WGS84","92B/6","BC Gazetteer"
"gazetteer:117fa9b998eee1920c89a181","Craigflower Manor","heritage","True","True","Provincial Historic Site","592","48.4519444399834","-123.424722222222","WGS84","92B/6","BC Gazetteer"
"gazetteer:af0552ac9d1c3ddd10144b24","Craigflower Schoolhouse","heritage","True","True","Provincial Historic Site","592","48.4524999955392","-123.421944444444","WGS84","92B/6","BC Gazetteer"
"gazetteer:26d9c5eaebfac4d96f9018d7","Cramer Hill","terrain","True","True","Hill","2705","48.7838888845252","-123.299444444444","WGS84","92B/14","BC Gazetteer"
"gazetteer:03e0ae7a7535ecb036dfc8d9","Cramer Passage","coast_island","True","True","Passage","1207","50.7469444406051","-126.522222222222","WGS84","92L/10","BC Gazetteer"
"gazetteer:012207b699c5d339575d1cfd","Cranberry","populated_administrative","False","True","Community","121","49.8732789968673","-124.526015","WGS84","92F/15","BC Gazetteer"
"gazetteer:d7306eeef70d7d18e59b767d","Cranberry Lake","freshwater","True","True","Lake","951","49.8674999959364","-124.515555555556","WGS84","92F/15","BC Gazetteer"
"gazetteer:fa36070252b3be08924d3037","Cranberry Land District","populated_administrative","False","True","Land District","482","49.1081231615514","-123.917980357961","WGS84","92G/4","BC Gazetteer"
"gazetteer:b097289f66abe9669eae993a","Cranby Creek","freshwater","True","True","Creek (1)","602","49.6791666625528","-124.480555555556","WGS84","92F/9","BC Gazetteer"
"gazetteer:842bede67e46740919526c48","Cranby Lake","freshwater","True","True","Lake","951","49.6952777736682","-124.507222222222","WGS84","92F/10","BC Gazetteer"
"gazetteer:73915a15907ba30af416da21","Crane Islands","coast_island","True","True","Islands","2301","50.8427777739618","-127.519444444444","WGS84","92L/13","BC Gazetteer"
